City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Port Alfred,ZA,-33.59,26.89,56.17,97,100,1.01,light rain
138,Florianopolis,BR,-27.61,-48.50,69.13,76,20,6.91,few clouds
139,Srednekolymsk,RU,67.45,153.68,45.99,74,100,7.27,overcast clouds
140,Upington,ZA,-28.45,21.26,52.18,62,0,0.0,clear sky
141,Dikson,RU,73.51,80.55,42.37,72,9,23.35,clear sky
142,Saint-Philippe,RE,-21.36,55.77,67.59,79,42,14.52,scattered clouds
143,Victoria,HK,22.29,114.16,86.32,86,19,5.99,few clouds
144,Inta,RU,66.03,60.17,63.55,59,98,7.72,overcast clouds
145,Saint-Ambroise,CA,48.55,-71.33,80.58,42,83,4.54,broken clouds
146,Shahrud,IR,36.42,54.98,75.06,45,0,8.1,clear sky
147,Binalbagan,PH,10.19,122.86,78.66,84,73,2.62,broken clouds
148,Lagunas,PE,-5.23,-75.68,84.15,58,98,2.13,overcast clouds
149,Ust-Ishim,RU,57.69,71.17,57.58,96,34,3.04,scattered clouds
150,Arraias,BR,-12.93,-46.94,86.97,21,0,7.09,clear sky
151,Chokurdakh,RU,70.63,147.92,42.4,74,83,8.88,broken clouds
152,Taksimo,RU,56.34,114.88,63.19,92,100,4.16,light rain
153,Nouakchott,MR,18.09,-15.98,78.73,82,100,17.09,overcast clouds
154,Yambio,SS,4.57,28.40,67.62,92,31,3.22,scattered clouds
155,Vanimo,PG,-2.67,141.30,75.22,89,100,4.29,overcast clouds
156,Norman Wells,CA,65.28,-126.83,73.44,38,20,4.61,few clouds
157,Dolni Bousov,CZ,50.44,15.13,73.78,55,87,6.29,overcast clouds
158,Manyava,UA,48.66,24.38,62.47,73,2,4.32,clear sky
159,Saint Anthony,US,45.02,-93.22,89.15,36,0,23.02,clear sky
160,Morros,BR,-9.45,-46.30,89.11,20,4,7.29,clear sky
161,Eyl,SO,7.98,49.82,74.57,84,54,19.42,broken clouds
162,Maraa,BR,-1.83,-65.37,81.09,87,54,2.33,moderate rain
163,Guerrero Negro,MX,27.98,-114.06,83.55,45,18,13.73,few clouds
164,Coahuayana,MX,18.73,-103.68,95.9,47,77,6.4,broken clouds
165,Santa Rosa,PH,14.31,121.11,82.38,82,100,4.47,overcast clouds
166,Sao Joao Da Barra,BR,-21.64,-41.05,75.29,79,17,12.75,few clouds
167,Gallup,US,35.53,-108.74,96.03,18,0,5.75,clear sky
168,Uga,NG,5.94,7.08,72.3,84,100,5.53,overcast clouds
169,Vila,PT,42.03,-8.16,71.71,55,0,2.77,clear sky
170,Ahipara,NZ,-35.17,173.17,53.96,77,70,17.72,broken clouds
171,Tokmak,UA,47.25,35.71,72.82,41,55,7.4,broken clouds
172,Ornskoldsvik,SE,63.29,18.72,58.15,94,26,2.3,scattered clouds
173,Lompoc,US,34.64,-120.46,94.78,65,0,12.66,clear sky
174,Bambous Virieux,MU,-20.34,57.76,68.25,73,75,12.66,light rain
175,Hofn,IS,64.25,-15.21,52.63,73,100,7.09,overcast clouds
176,Honiara,SB,-9.43,159.95,76.19,86,33,5.14,scattered clouds
177,Huarmey,PE,-10.07,-78.15,67.68,69,1,10.54,clear sky
178,Nishihara,JP,26.18,127.76,83.48,89,98,6.91,overcast clouds
179,Orocue,CO,4.79,-71.34,79.02,84,96,8.19,overcast clouds
180,Atar,MR,20.52,-13.05,100.53,9,54,2.66,broken clouds
181,Sao Filipe,CV,14.90,-24.50,76.53,88,83,5.06,broken clouds
182,Kamisu,JP,35.89,140.67,73.83,85,94,6.29,overcast clouds
183,Ambilobe,MG,-13.20,49.05,69.67,65,10,9.71,clear sky
184,Arlit,NE,18.74,7.39,93.27,29,74,6.73,broken clouds
185,Gerash,IR,27.67,54.14,91.54,46,82,4.65,broken clouds
186,Saint George,US,37.10,-113.58,106.95,16,0,8.99,clear sky
187,Olafsvik,IS,64.89,-23.71,51.24,75,99,11.86,overcast clouds
188,Chernyshevskiy,RU,63.01,112.47,51.55,95,100,2.84,overcast clouds
189,Basco,PH,20.45,121.97,85.42,76,16,13.06,few clouds
190,Cherskiy,RU,68.75,161.30,40.3,72,26,12.95,scattered clouds
191,Betlitsa,RU,54.01,33.96,53.98,80,44,6.71,scattered clouds
192,Kjollefjord,NO,70.95,27.35,53.42,94,0,0.0,clear sky
193,Jieshi,CN,22.81,115.83,82.78,84,6,2.06,clear sky
194,Kirakira,SB,-10.45,161.92,79.12,83,65,6.62,broken clouds
195,Moorhead,US,46.87,-96.77,86.99,45,0,16.11,clear sky
196,Auki,SB,-8.77,160.70,75.9,88,100,4.05,overcast clouds
197,Akyab,MM,20.15,92.90,81.1,85,100,4.16,overcast clouds
198,Chuy,UY,-33.70,-53.46,59.27,88,0,7.58,clear sky
199,Gartringen,DE,48.64,8.90,67.3,96,100,4.27,overcast clouds
200,Pimentel,PE,-6.84,-79.93,70.09,60,0,14.97,clear sky
201,San Patricio,US,28.02,-97.52,97.52,44,1,20.62,clear sky
202,Wenatchee,US,47.42,-120.31,96.66,26,0,3.0,clear sky
203,Lavrentiya,RU,65.58,-171.00,40.08,96,100,15.05,light rain
204,Coquimbo,CL,-29.95,-71.34,55.13,82,100,3.44,overcast clouds
205,Talisay,PH,10.24,123.85,80.62,89,20,4.61,few clouds
206,Roswell,US,34.02,-84.36,92.55,68,20,9.22,few clouds
207,Novosheshminsk,RU,55.07,51.23,56.71,91,100,4.74,light rain
208,Acapulco,MX,16.86,-99.89,87.62,74,75,8.05,broken clouds
209,Tiarei,PF,-17.53,-149.33,80.62,71,2,9.48,light rain
